flex1,flex2,flex3,flex4,flex5,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temperature,label
610.89,468.25,640.85,572.65,341.49,1.17,0.14,0.54,-21.43,-1.5,-9.61,30.47,A
429.43,427.13,376.0,306.28,600.51,-0.52,-0.4,-0.75,28.04,21.3,17.48,31.0,DELETE
642.8,506.69,667.43,541.08,358.4,1.01,0.28,0.57,-20.49,-0.2,-6.87,31.09,A
639.34,456.54,629.42,578.39,298.6,0.99,0.67,0.62,-30.26,-3.6,-4.04,30.44,A
366.01,536.7,350.39,366.72,701.66,-0.55,-0.82,-0.04,20.33,-17.7,-18.4,31.15,D
418.37,435.85,409.5,379.14,651.21,-0.54,-0.44,-0.63,29.23,12.63,30.48,31.06,DELETE
398.18,410.73,337.99,306.38,593.04,-0.59,-0.18,-0.68,27.66,19.41,24.61,31.12,DELETE
615.17,492.52,645.13,586.18,353.45,0.73,0.47,0.5,-25.51,-4.35,-0.28,30.74,A
393.72,434.23,422.93,412.25,547.61,1.0,0.88,0.01,8.44,21.42,16.55,30.88,B
579.99,325.83,740.46,351.17,498.81,0.99,0.56,0.46,9.26,-24.65,-27.7,31.18,E
646.18,642.29,293.17,593.03,732.96,0.36,0.16,-1.0,21.15,-26.57,-13.28,31.16,SPACE
637.86,627.95,357.06,604.64,685.35,0.3,0.2,-0.96,25.52,-21.4,-5.77,30.64,SPACE
721.93,654.84,324.21,632.51,659.48,0.39,-0.05,-0.98,26.61,-19.36,-15.06,30.73,SPACE
628.36,656.7,311.94,608.03,669.97,0.31,0.19,-0.77,7.75,-26.27,-5.18,31.56,SPACE
424.54,413.45,346.07,325.26,652.23,-0.52,-0.41,-0.96,30.68,17.33,22.47,31.05,DELETE
665.11,654.57,643.51,727.04,610.94,0.56,0.82,0.24,26.11,27.08,-14.74,30.9,C
386.29,548.73,394.5,406.6,680.0,-0.76,-0.97,-0.01,25.68,-2.67,-20.47,31.59,D
604.51,379.86,660.9,376.92,531.48,0.83,0.82,0.19,19.69,-14.73,-25.66,30.71,E
618.77,661.36,357.94,617.15,651.71,0.12,0.25,-0.93,23.58,-24.21,-5.73,30.66,SPACE
399.34,427.17,422.95,410.11,545.21,0.95,0.99,0.07,9.42,25.46,28.75,31.01,B
444.76,431.12,358.39,340.87,651.81,-0.62,-0.54,-0.45,26.21,14.81,23.93,30.98,DELETE
623.55,470.01,659.63,578.61,355.21,0.8,0.52,0.54,-28.39,-10.79,-4.32,30.89,A
381.92,442.37,410.9,396.58,544.97,1.04,1.13,-0.03,8.55,21.29,29.5,30.69,B
595.68,443.56,685.48,622.17,371.65,0.99,0.72,0.57,-21.3,-8.44,-5.77,31.02,A
658.6,689.23,322.83,618.83,727.42,0.3,0.09,-1.0,21.37,-30.38,-13.98,31.3,SPACE
374.37,395.35,466.97,398.56,496.55,0.88,0.97,0.14,11.12,24.98,22.75,31.1,B
,470.9,625.6,512.65,303.22,0.68,0.18,0.39,-15.69,-3.2,-1.3,31.12,A
407.83,456.72,435.82,311.69,668.98,-0.46,-0.5,-0.77,27.38,7.09,23.72,30.92,DELETE
405.71,395.62,385.69,393.56,486.66,1.12,1.16,-0.05,10.08,20.27,27.62,30.81,B
544.84,401.66,699.85,345.98,569.09,0.73,0.6,0.37,7.36,-22.5,-23.97,31.06,E
406.52,396.16,387.13,381.55,565.51,1.08,1.07,0.24,22.4,13.05,22.28,30.82,B
411.99,438.69,425.23,376.21,635.86,-0.47,-0.23,-0.67,26.54,16.22,20.9,30.95,DELETE
649.62,665.34,292.52,557.57,662.89,0.01,0.43,-1.14,16.17,-25.15,-14.12,30.54,SPACE
602.57,438.03,617.8,565.5,368.38,0.86,0.62,0.49,-21.07,-3.68,-3.39,30.84,A
677.81,648.18,339.32,609.27,677.51,0.21,0.1,-0.96,12.95,-23.01,-17.37,30.93,SPACE
364.74,422.12,423.24,421.65,580.89,0.87,0.77,-0.1,11.64,24.09,26.49,30.66,B
619.06,507.73,670.94,575.64,306.57,0.9,0.55,0.54,-25.2,-1.71,,30.81,A
435.23,386.41,433.39,388.74,583.31,1.08,0.83,-0.02,12.25,26.86,25.62,31.01,B
617.37,465.5,649.54,585.78,309.19,0.88,0.74,0.4,-32.9,-12.29,-7.61,31.01,A
443.01,401.16,404.34,336.66,613.57,-0.52,-0.4,-0.74,27.58,22.78,22.27,30.69,DELETE
653.78,478.81,668.01,566.46,308.05,0.81,0.41,0.89,-26.42,1.22,-12.27,31.28,A
432.86,561.35,409.73,375.26,650.8,-0.61,-1.36,0.03,21.52,-3.01,-17.49,30.66,D
611.53,617.45,644.42,654.0,574.43,0.77,0.91,0.51,20.92,26.17,-6.62,30.85,C
453.22,447.37,368.06,335.68,668.66,-0.57,-0.5,-0.47,34.36,12.62,24.49,30.85,DELETE
688.87,682.4,337.23,590.08,694.62,0.31,0.59,-0.86,24.85,-25.76,-11.68,30.92,SPACE
390.4,580.44,344.46,372.86,592.82,-0.45,-1.0,0.07,29.05,-8.94,-15.09,30.63,D
589.9,646.26,567.26,672.83,598.01,0.68,0.58,0.43,18.41,30.53,-1.98,31.12,C
426.12,393.6,406.08,381.57,527.28,1.1,1.0,-0.16,1.77,14.69,28.43,31.62,B
433.92,452.17,413.63,312.43,601.58,-0.29,-0.46,-0.63,27.62,22.53,31.65,31.33,DELETE
556.26,680.85,663.91,685.01,568.73,0.37,0.63,0.41,14.85,27.19,0.49,31.1,C
635.64,615.38,288.28,618.97,660.16,-0.04,0.19,-1.1,29.66,-30.11,-7.78,31.33,SPACE
397.65,512.27,348.86,371.45,646.31,-0.8,-1.01,0.26,25.07,-13.24,-22.65,30.99,D
601.82,354.09,689.6,386.45,526.89,0.89,0.66,0.21,10.3,-20.48,-34.3,31.14,E
580.67,397.64,721.94,379.03,549.64,0.63,0.75,0.39,19.16,-11.36,-37.88,30.88,E
389.09,542.54,380.66,348.36,664.49,-0.39,-0.74,-0.22,19.08,-8.33,-22.66,30.58,D
436.11,544.12,366.1,372.81,650.12,-0.95,-0.75,-0.11,26.89,-13.55,-25.44,31.36,D
438.32,575.87,385.86,323.54,649.56,-0.64,-0.93,0.15,19.93,-10.2,-16.4,30.32,D
637.81,472.7,622.44,558.34,353.94,1.06,0.6,0.47,-21.15,-2.39,-6.66,31.26,A
578.08,648.93,625.78,696.57,593.83,0.67,0.81,0.64,14.77,22.74,0.41,31.46,C
402.33,452.99,,419.45,486.89,0.89,0.82,-0.23,8.93,10.38,19.37,30.84,B
336.88,579.12,358.43,365.6,656.22,-0.78,-1.28,0.14,22.98,-12.01,-27.14,30.56,D
687.8,654.37,323.26,566.92,640.04,0.05,0.4,-0.83,17.05,-30.04,-15.32,30.73,SPACE
618.26,631.32,582.63,729.64,635.25,0.78,0.6,0.42,14.09,21.11,-6.71,30.81,C
414.44,549.2,299.97,350.6,650.17,-0.69,-0.71,0.09,22.17,-10.6,-16.79,30.82,D
641.63,652.64,295.26,644.8,669.7,0.22,0.44,-0.91,23.36,-30.97,-18.04,30.82,SPACE
408.48,564.66,410.32,371.31,680.9,-0.89,-1.12,0.11,27.18,-15.23,-22.19,30.59,D
603.29,657.03,594.16,678.71,654.79,0.85,0.79,0.55,13.09,32.47,-5.7,31.08,C
434.47,443.14,432.4,281.04,625.45,-0.63,-0.79,-0.69,37.73,13.58,29.75,31.36,DELETE
402.03,593.66,308.66,428.1,641.06,-0.68,-0.88,0.11,23.13,-5.45,-19.71,31.53,D
396.6,570.44,352.06,386.08,652.23,-0.59,-0.86,0.03,14.93,-1.49,-23.02,30.98,D
419.79,563.85,336.31,335.52,672.49,-0.79,-0.91,0.19,15.22,-10.67,-23.16,31.11,D
599.85,628.65,620.88,768.03,592.37,0.72,0.6,0.39,25.83,,-3.86,30.52,C
418.64,421.13,361.03,325.46,601.95,-0.63,-0.54,-0.56,38.64,20.96,31.41,30.89,DELETE
415.64,431.17,396.2,330.65,636.96,-0.66,-0.64,-0.68,28.79,10.66,18.86,31.05,DELETE
417.09,431.65,414.18,398.71,547.31,0.89,0.94,0.2,12.71,16.69,21.7,31.03,B
599.32,361.14,715.73,360.43,510.61,1.14,0.66,0.28,10.9,-16.05,-32.04,30.54,E
614.9,421.25,708.85,378.77,556.56,0.64,0.73,0.14,9.98,-11.14,-30.69,30.78,E
605.71,383.03,727.97,395.0,528.48,0.89,0.39,0.31,8.96,-22.88,-37.85,31.12,E
441.49,449.2,363.59,346.15,584.12,-0.32,-0.37,-0.76,32.52,28.07,24.71,31.17,DELETE
445.17,405.36,399.88,306.99,614.46,-0.06,-0.39,-0.77,30.53,14.28,20.99,31.63,DELETE
574.96,641.52,610.88,721.47,536.12,0.58,0.69,0.45,20.12,27.42,-3.01,30.84,C
629.48,477.06,649.7,545.79,337.09,1.25,0.65,0.6,-24.51,-4.95,-18.4,31.08,A
629.87,623.44,332.84,600.33,615.29,0.19,0.38,-0.98,20.53,-22.0,-7.21,31.31,SPACE
616.39,457.7,610.52,599.84,346.4,1.31,0.59,0.63,-23.15,1.11,-4.63,31.38,A
622.33,472.92,633.56,615.63,334.82,1.3,0.54,0.84,-20.53,1.84,-11.38,30.74,A
615.85,630.08,616.16,703.34,588.83,0.82,0.72,0.49,17.9,28.24,-0.34,31.02,C
620.56,519.15,654.41,599.65,330.26,0.96,0.42,0.72,-28.2,0.93,-8.71,31.35,A
560.62,475.24,637.91,576.36,336.97,0.99,0.66,0.41,-28.17,-8.44,-6.31,31.37,A
421.44,417.75,419.1,324.8,651.67,-0.52,-0.34,-0.55,24.37,18.7,35.44,31.08,DELETE
589.92,433.39,622.78,585.14,333.19,0.91,0.5,0.6,-27.36,0.56,-4.44,31.12,A
374.37,367.31,408.66,409.8,546.92,0.79,1.08,0.36,8.73,21.29,27.52,31.61,B
567.81,607.95,608.83,702.76,644.26,0.6,0.71,,16.84,29.8,2.39,31.1,C
394.84,454.41,405.72,439.74,549.0,1.23,0.97,0.41,5.91,17.77,19.93,31.7,B
604.06,626.44,601.48,694.55,546.36,0.67,0.64,0.44,25.19,20.0,-5.61,30.22,C
593.0,652.42,615.87,681.22,638.39,0.66,0.6,0.53,8.93,22.13,3.42,30.48,C
617.9,658.25,598.87,693.47,620.15,0.47,0.58,0.29,26.97,30.46,-12.5,30.55,C
385.99,446.96,390.95,320.01,604.33,-0.46,-0.23,-0.75,28.94,21.65,21.91,31.0,DELETE
394.25,466.11,387.7,336.39,615.63,-0.69,-0.54,-0.73,21.47,14.34,20.39,31.17,DELETE
586.74,678.01,604.33,707.28,603.49,0.83,0.56,0.31,14.92,26.58,-2.59,31.21,C
598.42,620.59,635.78,668.39,590.94,0.72,0.96,0.4,14.78,23.33,6.81,30.16,C
579.87,369.37,705.35,369.22,578.9,0.93,0.86,0.24,9.23,-23.08,-35.22,31.15,E
409.18,561.46,314.28,341.25,623.01,-0.84,-0.9,0.04,27.09,-6.68,-16.95,31.18,D
563.69,642.58,602.35,714.79,586.08,0.6,0.68,0.61,29.55,18.54,0.09,30.67,C
561.93,308.73,706.5,375.39,551.64,0.78,0.89,0.23,15.03,-18.97,-20.83,30.9,E
418.28,428.31,406.29,408.79,528.6,1.14,0.85,-0.19,11.41,24.75,28.38,31.12,B
368.05,580.5,350.01,350.46,644.46,-0.77,-1.01,0.14,17.84,-1.77,-28.94,31.48,D
452.77,444.93,373.89,330.79,564.75,-0.54,-0.49,-0.78,24.73,14.81,30.76,31.33,DELETE
405.66,558.18,373.43,386.18,642.13,-0.9,-0.94,-0.03,12.31,-7.9,-17.48,31.76,D
623.59,669.14,618.39,720.04,552.31,0.91,0.72,0.61,20.04,26.33,-2.86,31.11,C
606.16,406.34,710.92,299.62,555.78,0.77,0.73,0.29,11.97,-22.46,-29.53,31.4,E
611.04,489.27,638.75,585.9,341.62,1.07,0.64,0.33,-33.55,2.03,-1.81,30.69,A
579.47,355.97,677.73,388.86,509.41,0.9,0.69,0.44,12.26,-17.99,-30.28,31.13,E
649.06,648.17,340.63,626.56,670.92,0.12,0.13,-0.81,16.26,-28.11,-13.12,30.97,SPACE
611.56,503.89,634.41,587.75,312.96,1.02,0.52,0.46,-23.49,-3.9,-9.1,31.53,A
460.81,432.19,386.56,337.38,671.47,-0.52,-0.27,-0.73,27.2,16.92,21.92,30.94,DELETE
394.16,540.09,364.11,381.9,675.06,-0.64,-0.89,0.05,20.82,-14.02,-20.87,30.9,D
575.08,402.21,722.14,373.97,561.81,0.89,0.75,0.25,13.51,-25.11,-23.1,31.46,E
404.45,427.08,346.56,326.02,603.95,-0.72,-0.32,-0.44,28.36,15.33,27.97,30.99,DELETE
396.22,568.64,392.56,392.27,650.34,-0.54,-0.58,0.05,22.35,-9.59,-15.76,30.82,D
617.87,639.01,603.48,701.78,610.79,0.5,0.43,0.33,13.28,22.86,1.69,30.95,C
427.07,436.35,348.06,309.37,645.99,-0.55,-0.39,-0.77,28.35,10.0,26.29,31.11,DELETE
607.75,393.28,682.9,336.71,549.4,0.78,0.69,0.09,11.67,-18.37,-26.39,30.76,E
381.77,601.18,381.74,367.87,649.02,-0.72,-0.96,0.07,34.44,-9.49,-19.0,30.49,D
625.71,648.91,614.63,690.36,585.26,0.96,0.64,0.39,23.59,22.47,-4.46,31.0,C
590.37,635.23,570.24,745.52,609.56,0.78,0.56,0.57,16.21,24.66,1.57,30.51,C
605.18,645.26,556.2,706.28,555.43,0.56,0.87,0.73,12.03,24.43,-1.27,31.53,C
573.41,661.82,584.8,663.05,593.04,0.72,0.38,0.29,18.16,24.04,0.49,30.64,C
402.88,428.76,376.82,354.11,619.66,-0.51,-0.35,-0.73,35.31,16.85,21.51,30.93,DELETE
586.36,665.97,625.07,687.91,610.0,0.88,0.95,0.57,18.33,25.81,1.3,30.97,C
378.17,425.7,415.44,394.29,552.74,1.13,1.17,0.32,4.01,21.67,26.03,30.97,B
613.4,363.28,690.34,362.11,576.5,0.86,0.48,0.12,13.63,-27.59,-37.23,31.19,E
582.71,497.46,650.19,589.25,384.16,1.02,0.62,0.98,-23.38,-6.97,-5.61,31.13,A
394.32,585.83,351.59,371.41,623.45,-0.8,-0.7,0.01,16.75,-12.01,-30.3,30.7,D
605.24,666.83,571.92,713.0,583.39,0.75,0.63,0.54,18.7,10.72,-0.59,31.19,C
586.92,362.17,687.79,367.0,531.54,0.84,0.14,0.3,13.02,-16.75,-22.87,30.94,E
691.0,638.81,368.87,549.64,671.98,0.46,0.07,-0.93,19.35,-30.63,-9.97,30.61,SPACE
434.1,419.13,380.59,347.3,610.73,-0.56,-0.15,-0.78,33.9,11.09,29.07,31.21,DELETE
616.99,330.13,714.18,322.76,536.81,0.68,0.88,0.12,4.68,-21.28,-31.49,30.55,E
399.2,381.67,361.66,402.34,572.01,0.96,1.18,0.11,10.7,14.92,30.66,30.9,B
591.05,609.36,553.26,715.41,582.92,0.84,0.83,0.37,21.06,22.78,-10.72,31.04,C
697.49,647.24,281.84,579.64,636.67,0.22,0.23,-0.99,25.25,-26.82,-5.88,30.89,SPACE
604.8,658.42,610.37,698.05,619.15,0.84,0.8,0.45,25.04,27.22,1.67,31.08,C
359.27,390.87,393.12,411.18,569.0,0.98,1.13,0.22,7.18,24.57,24.76,31.4,B
472.51,423.42,369.21,350.59,615.93,-0.49,-0.47,-0.73,36.6,11.36,29.23,31.16,DELETE
387.38,419.87,429.65,382.71,508.16,0.96,1.1,-0.15,0.0,25.72,22.96,30.88,B
582.53,407.86,717.86,358.23,574.08,0.97,0.63,0.27,14.58,-26.11,-29.4,31.09,E
436.54,398.03,398.34,415.8,532.39,0.91,0.75,-0.02,2.97,12.97,22.0,30.69,B
594.25,342.31,673.02,380.73,555.98,0.7,0.77,0.36,20.48,-19.1,-24.13,31.14,E
427.89,547.21,322.41,376.79,684.09,-0.68,-0.99,-0.13,30.55,-15.59,-25.94,31.17,D
345.2,449.66,424.38,465.59,498.24,1.21,0.99,0.17,0.1,28.94,29.91,30.99,B
639.14,625.03,335.01,573.53,686.84,0.24,-0.07,-0.89,12.94,-23.75,-12.43,31.56,SPACE
570.4,485.26,599.44,597.74,340.89,1.31,0.36,0.56,-13.32,2.98,-11.23,31.07,A
560.62,679.11,583.61,679.42,597.6,0.55,0.48,0.45,13.65,22.38,-5.39,31.16,C
656.46,686.97,343.84,618.86,637.88,0.5,0.08,-0.65,31.47,-24.65,-6.03,30.08,SPACE
371.01,385.14,426.02,362.55,556.15,0.95,0.95,0.12,11.25,17.47,29.56,31.03,B
370.78,547.96,371.99,406.9,693.36,-0.7,-0.69,-0.04,27.26,-15.15,-20.21,30.3,D
